Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2013-02-19,-0.0046542253945871,sell,neutral,neutral,-0.0142085067353827,sell,sell,sell,-0.0005867242119714,sell,neutral,neutral,-0.0101800493219217,sell,sell,sell
2013-02-20,-0.0024516635799035,sell,neutral,neutral,-0.0026022754426856,sell,neutral,neutral,0.0072165649677349,buy,buy,neutral,0.007064493376278,buy,buy,neutral
2013-02-21,-0.0122153000252362,sell,sell,sell,-0.0173420696233224,sell,sell,sell,-0.0120661397754905,sell,sell,sell,-0.0171936835404914,sell,sell,sell
2013-02-22,-0.0080716548521028,sell,sell,neutral,-0.0105853527455671,sell,sell,sell,-0.0028965192060343,sell,neutral,neutral,-0.0054233316834658,sell,sell,neutral
2013-02-25,0.0005503562265334,buy,neutral,neutral,-0.0008861624573593,sell,neutral,neutral,0.003092345401376,buy,neutral,neutral,0.001652177111123,buy,neutral,neutral
2013-02-26,-0.0093169798678367,sell,sell,neutral,-0.0145802637111689,sell,sell,sell,-0.0078925829525309,sell,sell,neutral,-0.0131634343074873,sell,sell,sell
2013-02-27,0.0007256938498481,buy,neutral,neutral,-0.0027809637355806,sell,neutral,neutral,0.0060707292515984,buy,buy,neutral,0.0025453420492016,buy,neutral,neutral
2013-02-28,0.0075042605320636,buy,buy,neutral,0.0160603244271568,buy,buy,buy,0.0110470854572487,buy,buy,buy,0.0196332362091586,buy,buy,buy
2013-03-01,0.0057245035499313,buy,buy,neutral,0.0023569522261544,buy,neutral,neutral,-0.0027445242295809,sell,neutral,neutral,-0.0060837180005596,sell,sell,neutral
2013-03-04,-0.0039456254578217,sell,neutral,neutral,-0.0182636083113621,sell,sell,sell,-0.0005992484809435,sell,neutral,neutral,-0.0149653344997338,sell,sell,sell
2013-03-05,-0.010710430177594,sell,sell,sell,-0.0133824430908568,sell,sell,sell,0.0037177108364511,buy,neutral,neutral,0.0010067283633345,buy,neutral,neutral
2013-03-06,0.0057016511200449,buy,buy,neutral,0.0069066837479631,buy,buy,neutral,0.0084253486458633,buy,buy,neutral,0.0096336448106202,buy,buy,neutral
2013-03-07,-0.0009358449565631,sell,neutral,neutral,0.000916872226043,buy,neutral,neutral,-0.0021314919054241,sell,neutral,neutral,-0.0002809919934859,sell,neutral,neutral
2013-03-08,0.0048387113405783,buy,neutral,neutral,0.0159556313113346,buy,buy,buy,0.0029787347552019,buy,neutral,neutral,0.0140750770843789,buy,buy,buy
2013-03-11,0.0127924372307632,buy,buy,buy,0.0110139591332294,buy,buy,buy,0.0017101299678476,buy,neutral,neutral,-4.8887438617972734e-05,sell,neutral,neutral
2013-03-12,6.746432180171347e-05,buy,neutral,neutral,-0.0104117966475044,sell,sell,sell,0.001826686403045,buy,neutral,neutral,-0.0086710086699091,sell,sell,neutral
2013-03-13,-0.010023812708036,sell,sell,sell,-0.0249146072439804,sell,sell,sell,0.0004595568237405,buy,neutral,neutral,-0.014588924032083,sell,sell,sell
2013-03-14,-0.0182030030089448,sell,sell,sell,-0.0123111648559069,sell,sell,sell,-0.003209713737244,sell,neutral,neutral,0.0027721002805003,buy,neutral,neutral
2013-03-15,0.009858897756207,buy,buy,neutral,0.0021730489120161,buy,neutral,neutral,0.0038348090237302,buy,neutral,neutral,-0.0038051915979766,sell,neutral,neutral
2013-03-18,-0.0229279241345976,sell,sell,sell,-0.027418424314763,sell,sell,sell,-0.0154345792545552,sell,sell,sell,-0.0199595179038623,sell,sell,sell
2013-03-19,-0.0021284661415681,sell,neutral,neutral,-0.0064664803338074,sell,sell,neutral,0.0024788001429243,buy,neutral,neutral,-0.0018792430669303,sell,neutral,neutral
