Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2021-08-03,26.74,26.68,0.0,-9.0,125425.94698636982,120060.0,5365.946986369818,0.6578630136986301,269.99999999999426
2021-08-04,26.620001,26.940001,0.0,-9.0,123985.28271237256,121230.0045,2755.278212372563,0.6642739972602739,-1440.0000000000014
2021-08-05,26.92,26.719999,0.0,-9.0,124884.62836308214,120239.9955,4644.632863082137,0.658849290410959,900.0045000000014
2021-08-06,26.719999,26.700001,0.0,-9.0,124973.9610068931,120150.0045,4823.9565068931115,0.6583561890410958,89.99100000000482
2021-08-09,26.5,26.76,-1.0,-9.0,123803.30117127667,120420.0,3383.3011712766747,0.6598356164383562,-1170.000000000007
2021-08-10,26.940001,27.08,0.0,-9.0,123172.63794524927,121859.99999999999,1312.6379452492838,0.6677260273972602,-629.995499999998
2021-08-11,27.0,27.139999,0.0,-9.0,122541.97323979448,122129.99549999999,411.9777397944854,0.6692054547945205,-629.995499999998
2021-08-12,27.139999,26.98,0.0,-9.0,123261.30347952049,121410.0,1851.3034795204876,0.6652602739726027,719.995499999996
2021-08-13,26.879999,26.9,0.0,-9.0,123170.63569184927,121050.0,2120.6356918492675,0.6632876712328767,-90.00449999998672
2021-08-16,26.879999,26.719999,0.0,-9.0,123889.97684255886,120239.9955,3649.981342558851,0.658849290410959,720.0000000000007
2021-08-17,26.700001,26.26,0.0,-9.0,125869.33383570953,118170.0,7699.3338357095345,0.6475068493150685,1980.0044999999943
2021-08-18,26.32,26.379999,0.0,-9.0,125598.68786998076,118709.9955,6888.692369980752,0.6504657287671233,-269.9955000000056
2021-08-19,26.299999,25.84,-1.0,-9.0,127668.04621929584,116280.0,11388.046219295837,0.6371506849315068,2069.995499999999
2021-08-20,25.84,25.379999,-1.0,-9.0,129737.4249111013,114209.9955,15527.4294111013,0.6258081945205479,2070.0044999999923
2021-08-23,25.68,25.68,0.0,-9.0,129736.79170562186,115560.0,14176.791705621858,0.6332054794520549,-0.0
2021-08-24,25.98,26.24,1.0,9.0,130906.14469192321,118080.0,12826.144691923211,0.647013698630137,1169.9999999999911
2021-08-25,26.42,26.26,1.0,9.0,130185.4971850739,118170.0,12015.497185073895,0.6475068493150685,-720.0000000000007
2021-08-26,26.139999,25.98,0.0,9.0,129464.86108233417,116910.0,12554.861082334173,0.6406027397260273,-719.995499999996
2021-08-27,25.98,25.959999,0.0,9.0,129374.2164727698,116819.9955,12554.220972769792,0.6401095643835617,-90.00450000000271
2021-08-30,25.98,26.1,0.0,9.0,129913.57291112596,117450.0,12463.572911125957,0.6435616438356164,540.0000000000044
2021-08-31,26.08,26.42,0.0,9.0,131442.9214590712,118890.00000000001,12552.921459071178,0.6514520547945206,1530.0000000000155
2021-09-01,26.4,26.6,0.0,9.0,132342.26556866022,119700.0,12642.265568660223,0.6558904109589041,900.0000000000127
2021-09-02,26.719999,26.700001,1.0,9.0,132251.61621247118,120150.0045,12101.61171247119,0.6583561890410958,-89.99100000000482
2021-09-03,26.58,26.540001,0.0,9.0,132070.96630148764,119430.0045,12640.961801487647,0.6544109835616438,-179.99549999999152
2021-09-06,26.540001,26.76,0.0,9.0,133060.30196587121,120420.0,12640.301965871215,0.6598356164383562,989.9955000000062
2021-09-07,26.799999,26.98,0.0,9.0,133869.64120559726,121410.0,12459.641205597261,0.6652602739726027,810.0045000000033
2021-09-08,26.98,26.9,0.0,9.0,133508.97791792604,121050.0,12458.977917926037,0.6632876712328767,-360.0000000000083
2021-09-09,26.719999,26.34,-1.0,-9.0,135218.323938474,118530.0,16688.323938474,0.6494794520547945,1709.9955000000068
2021-09-10,26.48,26.84,0.0,-9.0,133597.66213025482,120780.0,12817.662130254816,0.6618082191780822,-1619.9999999999975
2021-09-13,26.540001,26.459999,-1.0,-9.0,133957.0186919233,119069.9955,14887.02319192329,0.6524383315068494,360.0090000000016
2021-09-14,26.48,26.16,0.0,-9.0,135396.37365082742,117720.0,17676.373650827416,0.6450410958904109,1440.0000000000014
2021-09-15,26.0,25.780001,-1.0,-9.0,136385.7334795699,116010.0045,20375.728979569903,0.6356712575342466,989.9955000000062
2021-09-16,25.700001,25.360001,0.0,-9.0,137915.10816447675,114120.00450000001,23795.103664476745,0.625315093150685,1529.9999999999993
2021-09-17,25.299999,25.58,-1.0,-9.0,136654.47292475073,115109.99999999999,21544.47292475075,0.6307397260273971,-1260.0044999999936
2021-09-20,25.34,24.76,-1.0,-9.0,139263.86240420278,111420.0,27843.86240420278,0.6105205479452055,2609.9999999999923
2021-09-21,24.559999,24.860001,-1.0,-9.0,137913.24041787678,111870.00450000001,26043.235917876766,0.6129863260273973,-1350.0089999999964
2021-09-23,25.18,25.18,1.0,10.0,137912.5505548631,125900.0,12012.55055486309,0.6898630136986301,0.0
2021-09-24,25.1,24.860001,0.0,10.0,136711.8744589453,124300.005,12411.869458945293,0.6810959178082192,-1199.995000000005
2021-09-27,24.799999,24.82,0.0,10.0,136811.1994589453,124100.0,12711.19945894531,0.68,100.00500000000301
2021-09-28,24.9,25.120001,0.0,10.0,137910.51623973984,125600.00499999999,12310.511239739848,0.688219205479452,1100.0049999999994
2021-09-29,24.98,25.32,-1.0,-11.0,136039.75317124667,139260.0,-3220.2468287533266,0.7630684931506849,-1869.9999999999993
2021-09-30,25.16,25.219999,0.0,-11.0,135708.99861648228,138709.9945,-3000.995883517724,0.7600547643835616,-329.99450000000684
2021-10-04,25.16,24.719999,0.0,-11.0,138128.25913021105,135959.9945,2168.2646302110516,0.7449862712328766,2420.005499999993
2021-10-05,24.440001,24.76,0.0,-11.0,136367.5184384302,136180.0,187.51843843021197,0.7461917808219178,-1759.9945000000155
2021-10-06,24.879999,24.620001,1.0,10.0,135066.85391785484,123100.00499999999,11966.848917854848,0.6745205753424657,-1299.9900000000152
2021-10-07,24.940001,25.360001,1.0,10.0,137166.1591233069,126800.005,10366.154123306886,0.6947945479452056,2100.0000000000086
2021-10-08,25.620001,25.48,1.0,10.0,136465.4560411151,127400.0,9065.456041115103,0.698082191780822,-700.0049999999902
2021-10-11,25.700001,25.940001,1.0,10.0,137664.7453561562,129700.005,7964.740356156195,0.7106849589041097,1199.9999999999923
2021-10-12,25.700001,25.6,0.0,10.0,137164.0389862932,128000.0,9164.038986293192,0.7013698630136986,-500.0049999999945
2021-10-15,25.82,25.98,1.0,10.0,137963.3272054713,129900.0,8063.327205471287,0.7117808219178082,800.0000000000007
2021-10-18,26.08,26.1,0.0,10.0,138062.61213697816,130500.0,7562.612136978161,0.7150684931506849,100.00000000001563
2021-10-19,26.16,26.440001,0.0,10.0,139461.8927533891,132200.005,7261.887753389106,0.7243835890410959,1400.004999999993
2021-10-20,26.66,26.82,1.0,10.0,140261.15795886857,134100.0,6161.157958868571,0.7347945205479451,800.0000000000007
2021-10-21,26.799999,26.620001,0.0,10.0,139360.43864377265,133100.00499999998,6260.433643772674,0.7293150958904109,-899.990000000006
2021-10-22,26.76,26.76,1.0,10.0,139359.7054930877,133800.0,5559.705493087706,0.7331506849315069,0.0
2021-10-25,26.68,26.780001,0.0,10.0,139858.97679443017,133900.005,5958.9717944301665,0.7336986575342467,500.0049999999945
2021-10-26,26.879999,26.68,1.0,10.0,138858.25083552607,133400.0,5458.250835526065,0.7309589041095891,-999.9950000000091
2021-10-27,26.440001,26.280001,0.0,10.0,138057.53083549868,131400.005,6657.525835498673,0.7200000273972604,-800.0000000000007
2021-10-28,26.280001,26.18,0.0,10.0,137556.8085752247,130900.0,6656.808575224713,0.7172602739726027,-500.0049999999945
2021-10-29,25.639999,25.52,0.0,10.0,136956.11439714252,127600.0,9356.114397142519,0.6991780821917809,-599.9949999999999
2021-11-01,25.42,25.299999,-1.0,-10.0,137555.426246485,126499.995,11055.431246485008,0.6931506575342465,600.0050000000101
2021-11-02,25.639999,25.299999,0.0,-10.0,139254.73309582748,126499.995,12754.738095827488,0.6931506575342465,1699.9999999999993
2021-11-03,25.18,25.16,-1.0,-10.0,139354.04378075898,125800.0,13554.043780758977,0.6893150684931507,99.99999999999787
2021-11-04,25.26,25.379999,0.0,-10.0,138753.35343832063,126899.99500000001,11853.358438320618,0.6953424383561645,-599.9949999999999
2021-11-05,25.120001,25.08,-1.0,-10.0,138952.67131503296,125399.99999999999,13552.671315032974,0.6871232876712329,200.00500000000088
2021-11-08,24.98,24.959999,-1.0,-10.0,139051.99247944393,124799.995,14251.997479443933,0.6838355890410959,100.00500000000301
2021-11-09,25.059999,24.959999,0.0,-10.0,139551.3086438549,124799.995,14751.313643854897,0.6838355890410959,500.0000000000071
2021-11-10,24.9,25.16,-1.0,-10.0,138250.6193287864,125800.0,12450.619328786386,0.6893150684931507,-1300.0000000000077
2021-11-11,25.02,25.440001,-1.0,-10.0,136149.9173424576,127200.00499999999,8949.91234245761,0.6969863287671232,-2100.004999999996
2021-11-12,25.66,25.5,1.0,10.0,135349.2187123206,127500.0,7849.2187123206095,0.6986301369863014,-800.0000000000007
2021-11-15,25.559999,25.559999,1.0,10.0,135348.5184383754,127799.99500000001,7548.5234383754,0.7002739452054795,0.0
2021-11-16,25.6,25.799999,0.0,10.0,136347.80658908773,128999.99500000001,7347.811589087723,0.7068492876712329,999.9949999999913
2021-11-17,25.74,25.780001,0.0,10.0,136547.10528769047,128900.00499999999,7647.100287690482,0.706301397260274,200.00500000000088
2021-11-18,25.52,25.4,-1.0,-10.0,137146.40939727952,127000.0,10146.409397279524,0.6958904109589041,600.000000000005
2021-11-19,25.1,25.18,-1.0,-10.0,136745.71953426584,125900.0,10845.719534265838,0.6898630136986301,-399.9999999999915
2021-11-22,25.200001,25.1,0.0,-10.0,137245.03686303296,125500.0,11745.036863032961,0.6876712328767123,500.0049999999945
2021-11-23,24.860001,24.82,-1.0,-10.0,137444.36186303297,124100.0,13344.361863032973,0.68,200.00500000000088
2021-11-24,24.879999,24.860001,0.0,-10.0,137543.6707671152,124300.005,13243.665767115192,0.6810959178082192,99.99000000000535
2021-11-25,24.82,24.92,0.0,-10.0,137042.98802738916,124600.00000000001,12442.988027389147,0.6827397260273974,-500.0000000000071
2021-11-26,24.68,24.26,-1.0,-10.0,139142.32336985492,121300.00000000001,17842.3233698549,0.6646575342465754,2099.999999999991
2021-11-29,24.120001,24.139999,-1.0,-10.0,139041.6720000193,120699.995,18341.677000019292,0.6613698356164384,-99.99000000000535
2021-11-30,24.1,23.620001,0.0,-10.0,141441.01987670423,118100.00499999999,23341.01487670424,0.6471233150684931,2399.995000000015
2021-12-01,23.719999,23.84,0.0,-10.0,140840.3617260193,119200.0,21640.3617260193,0.6531506849315069,-600.0049999999924
2021-12-02,23.74,23.959999,-1.0,-10.0,139739.71028769054,119799.995,19939.715287690546,0.6564383287671233,-1099.995000000007
2021-12-03,23.879999,23.92,0.0,-10.0,139539.04994522478,119600.00000000001,19939.04994522476,0.6553424657534248,-200.00500000000088
2021-12-06,23.6,23.5,0.0,-10.0,140038.40610960833,117500.0,22538.40610960833,0.6438356164383562,500.0000000000071
2021-12-07,23.82,24.139999,1.0,11.0,141797.67310278915,132769.9945,9027.67860278915,0.7275068191780821,1759.994499999996
2021-12-08,24.200001,24.16,1.0,11.0,141576.9394932001,132880.0,8696.939493200101,0.7281095890410959,-220.00550000000095
2021-12-09,24.299999,24.379999,0.0,11.0,142016.20475350422,134089.99450000003,7926.210253504192,0.7347396958904112,440.0000000000102
2021-12-10,24.219999,24.120001,0.0,11.0,141465.48884936445,132660.00549999997,8805.483349364484,0.7269041397260273,-549.9890000000161
