Date,Open,High,Low,Close,Adj Close,Volume
2012-2-1,1739.64,1751.56,1709.54,1713.68,1713.68,1350000000.0
2012-2-2,1720.0,1761.94,1714.25,1761.94,1761.94,1750000000.0
2012-2-3,1756.15,1780.22,1750.37,1772.19,1772.19,1900000000.0
2012-2-6,1775.44,1781.89,1753.43,1764.82,1764.82,1670000000.0
2012-2-7,1753.38,1756.3,1721.85,1732.02,1732.02,1490000000.0
2012-2-8,1731.99,1786.2,1729.54,1782.06,1782.06,2210000000.0
2012-2-9,1781.15,1789.08,1771.09,1778.1,1778.1,1960000000.0
2012-2-10,1772.19,1800.03,1770.8,1778.32,1778.32,2350000000.0
2012-2-13,1757.02,1786.48,1751.07,1768.54,1768.54,1760000000.0
2012-2-14,1765.87,1767.77,1747.83,1758.98,1758.98,1280000000.0
2012-2-15,1753.78,1784.24,1751.11,1773.17,1773.17,1820000000.0
2012-2-16,1770.4,1776.92,1751.36,1761.88,1761.88,1720000000.0
2012-2-17,1774.19,1778.63,1756.95,1765.65,1765.65,1240000000.0
2012-2-20,1790.39,1792.51,1768.06,1769.41,1769.41,1820000000.0
2012-2-21,1772.25,1780.56,1756.41,1779.94,1779.94,1350000000.0
2012-2-22,1781.98,1798.01,1772.43,1795.26,1795.26,2410000000.0
2012-2-23,1794.35,1805.67,1791.19,1799.64,1799.64,2340000000.0
2012-2-24,1801.39,1827.04,1797.05,1826.72,1826.72,3200000000.0
2012-2-27,1833.44,1851.36,1828.04,1828.41,1828.41,3590000000.0
2012-2-28,1826.9,1843.96,1826.1,1839.06,1839.06,2570000000.0
2012-2-29,1835.77,1841.56,1819.83,1822.77,1822.77,2050000000.0
2012-3-1,1814.32,1827.66,1813.45,1818.28,1818.28,1420000000.0
2012-3-2,1821.04,1844.08,1821.04,1843.85,1843.85,2330000000.0
2012-3-5,1847.45,1850.25,1826.78,1827.94,1827.94,2430000000.0
2012-3-6,1822.52,1824.35,1792.78,1794.26,1794.26,2330000000.0
2012-3-7,1777.84,1793.73,1774.51,1776.36,1776.36,1890000000.0
2012-3-8,1782.7,1804.91,1782.7,1798.1,1798.1,2000000000.0
2012-3-9,1803.91,1811.94,1794.34,1811.49,1811.49,1730000000.0
2012-3-12,1810.09,1810.59,1785.97,1796.94,1796.94,2030000000.0
2012-3-13,1795.68,1814.13,1793.89,1813.2,1813.2,1700000000.0
2012-3-14,1823.11,1831.86,1770.51,1776.41,1776.41,3830000000.0
2012-3-15,1774.56,1783.14,1759.09,1760.48,1760.48,2550000000.0
2012-3-16,1764.76,1781.21,1754.06,1780.08,1780.08,1950000000.0
2012-3-19,1775.96,1781.08,1760.34,1778.98,1778.98,2070000000.0
2012-3-20,1774.99,1775.94,1754.81,1755.72,1755.72,2180000000.0
2012-3-21,1765.73,1775.23,1750.08,1758.62,1758.62,2110000000.0
2012-3-22,1759.32,1770.41,1749.13,1760.33,1760.33,1700000000.0
2012-3-23,1756.19,1760.25,1741.53,1747.92,1747.92,1640000000.0
2012-3-26,1747.85,1754.8,1741.0,1749.89,1749.89,1110000000.0
2012-3-27,1757.0,1760.75,1745.8,1749.19,1749.19,1230000000.0
2012-3-28,1743.41,1746.4,1706.26,1708.85,1708.85,1730000000.0
2012-3-29,1702.06,1709.71,1681.97,1688.09,1688.09,1800000000.0
2012-3-30,1693.65,1706.01,1690.27,1705.63,1705.63,1520000000.0
2012-4-5,1698.74,1739.44,1691.48,1735.28,1735.28,2280000000.0
2012-4-6,1732.51,1739.89,1726.5,1737.51,1737.51,1600000000.0
2012-4-9,1730.45,1735.06,1719.46,1721.43,1721.43,1080000000.0
2012-4-10,1719.58,1737.24,1702.95,1736.24,1736.24,1270000000.0
2012-4-11,1721.19,1748.3,1718.08,1734.59,1734.59,1530000000.0
2012-4-12,1736.67,1771.92,1731.77,1770.95,1770.95,2180000000.0
2012-4-13,1771.3,1785.45,1769.57,1777.07,1777.07,1760000000.0
2012-4-16,1767.67,1778.52,1764.81,1770.68,1770.68,1280000000.0
2012-4-17,1769.46,1773.55,1748.77,1749.4,1749.4,1210000000.0
2012-4-18,1754.76,1791.23,1752.37,1789.63,1789.63,2160000000.0
2012-4-19,1788.75,1797.41,1784.52,1791.38,1791.38,1670000000.0
2012-4-20,1788.02,1816.36,1786.63,1815.88,1815.88,2310000000.0
2012-4-23,1812.93,1819.78,1796.1,1799.91,1799.91,1900000000.0
2012-4-24,1795.8,1832.84,1784.26,1808.86,1808.86,2710000000.0
2012-4-25,1805.5,1823.65,1802.38,1819.22,1819.22,2180000000.0
2012-4-26,1825.04,1829.72,1813.5,1822.21,1822.21,1830000000.0
2012-4-27,1823.37,1831.55,1820.95,1822.54,1822.54,1590000000.0
2012-5-2,1846.86,1874.1,1836.27,1862.75,1862.75,3080000000.0
2012-5-3,1860.54,1868.41,1854.58,1864.3,1864.3,1970000000.0
2012-5-4,1862.31,1877.43,1852.62,1876.66,1876.66,2230000000.0
2012-5-7,1864.38,1871.39,1852.46,1866.62,1866.62,2400000000.0
2012-5-8,1865.86,1866.44,1844.97,1862.4,1862.4,2370000000.0
2012-5-9,1846.72,1847.77,1828.73,1830.13,1830.13,2080000000.0
2012-5-10,1829.75,1835.28,1822.48,1829.61,1829.61,1850000000.0
2012-5-11,1826.04,1834.59,1814.87,1815.73,1815.73,1480000000.0
2012-5-14,1827.51,1829.48,1798.29,1800.5,1800.5,1980000000.0
2012-5-15,1790.72,1802.1,1786.58,1801.06,1801.06,1560000000.0
2012-5-16,1796.13,1797.59,1772.73,1774.24,1774.24,1700000000.0
2012-5-17,1776.72,1805.69,1772.02,1801.11,1801.11,1570000000.0
2012-5-18,1788.26,1790.92,1771.28,1775.57,1775.57,1550000000.0
2012-5-21,1775.29,1795.96,1771.28,1784.94,1784.94,1400000000.0
2012-5-22,1792.75,1811.52,1791.02,1810.41,1810.41,1570000000.0
2012-5-23,1806.79,1815.96,1791.61,1801.47,1801.47,1560000000.0
2012-5-24,1800.27,1812.57,1784.94,1789.43,1789.43,1410000000.0
2012-5-25,1790.45,1795.2,1770.83,1776.38,1776.38,1300000000.0
2012-5-28,1771.69,1801.37,1763.69,1800.91,1800.91,1800000000.0
2012-5-29,1800.68,1827.63,1797.64,1824.43,1824.43,2220000000.0
2012-5-30,1821.65,1825.15,1813.44,1818.38,1818.38,1570000000.0
2012-5-31,1803.24,1813.36,1798.44,1804.59,1804.59,1260000000.0
2012-6-1,1806.48,1820.17,1803.07,1808.53,1808.53,1490000000.0
2012-6-4,1790.69,1791.61,1760.07,1760.95,1760.95,1890000000.0
2012-6-5,1765.67,1772.38,1755.53,1763.7,1763.7,1280000000.0
2012-6-6,1768.02,1776.58,1762.46,1768.58,1768.58,1340000000.0
2012-6-7,1780.2,1782.69,1754.18,1757.77,1757.77,1210000000.0
2012-6-8,1766.05,1766.05,1736.08,1738.59,1738.59,1770000000.0
2012-6-11,1741.18,1762.71,1737.56,1756.03,1756.03,1460000000.0
2012-6-12,1746.59,1753.13,1734.81,1745.45,1745.45,1470000000.0
2012-6-13,1750.52,1772.57,1744.27,1771.42,1771.42,1490000000.0
2012-6-14,1764.89,1769.95,1754.28,1756.3,1756.3,1250000000.0
2012-6-15,1761.0,1775.57,1750.39,1769.49,1769.49,1590000000.0
2012-6-18,1778.09,1785.78,1770.56,1776.24,1776.24,1160000000.0
2012-6-19,1774.27,1775.85,1763.78,1764.88,1764.88,1110000000.0
2012-6-20,1767.05,1775.34,1761.42,1763.63,1763.63,1000000000.0
2012-6-21,1760.41,1760.41,1730.21,1735.34,1735.34,1320000000.0
2012-6-25,1729.1,1729.46,1702.71,1704.57,1704.57,1570000000.0
2012-6-26,1692.48,1708.41,1689.99,1700.5,1700.5,1130000000.0
2012-6-27,1698.86,1708.83,1692.04,1695.03,1695.03,978100000.0
2012-6-28,1697.4,1702.37,1680.44,1681.38,1681.38,979900000.0
2012-6-29,1677.38,1710.45,1675.52,1708.86,1708.86,1370000000.0
2012-7-2,1715.96,1716.15,1697.34,1706.17,1706.17,1420000000.0
2012-7-3,1705.82,1723.07,1699.3,1710.41,1710.41,1280000000.0
2012-7-4,1715.34,1721.18,1706.48,1712.94,1712.94,1090000000.0
2012-7-5,1702.63,1703.61,1686.19,1695.36,1695.36,1150000000.0
2012-7-6,1692.29,1715.99,1681.04,1711.58,1711.58,1770000000.0
2012-7-9,1699.41,1708.19,1666.21,1668.02,1668.02,1730000000.0
2012-7-10,1666.22,1679.41,1661.29,1664.42,1664.42,1190000000.0
2012-7-11,1661.14,1674.98,1658.79,1672.25,1672.25,1170000000.0
2012-7-12,1668.91,1690.42,1651.25,1680.05,1680.05,2050000000.0
2012-7-13,1674.05,1698.39,1672.87,1685.02,1685.02,1170000000.0
2012-7-16,1688.78,1688.78,1656.83,1657.62,1657.62,1290000000.0
2012-7-17,1653.74,1676.75,1653.02,1669.71,1669.71,1020000000.0
2012-7-18,1669.78,1673.54,1642.12,1665.86,1665.86,1180000000.0
2012-7-19,1660.56,1687.45,1656.74,1674.27,1674.27,1570000000.0
2012-7-20,1669.59,1673.14,1653.44,1658.3,1658.3,1240000000.0
2012-7-23,1646.76,1646.76,1624.33,1629.07,1629.07,1130000000.0
2012-7-24,1621.3,1644.45,1620.93,1632.95,1632.95,1120000000.0
2012-7-25,1628.63,1639.94,1626.04,1627.96,1627.96,815100000.0
2012-7-26,1628.72,1640.97,1622.55,1624.46,1624.46,1070000000.0
2012-7-27,1630.28,1642.07,1625.03,1630.31,1630.31,1220000000.0
2012-7-30,1633.48,1645.33,1622.69,1625.64,1625.64,1210000000.0
2012-7-31,1628.02,1643.57,1627.86,1631.88,1631.88,1320000000.0
2012-8-1,1633.38,1651.97,1632.94,1645.62,1645.62,1200000000.0
2012-8-2,1641.83,1645.96,1627.55,1634.55,1634.55,1120000000.0
2012-8-3,1637.81,1642.17,1628.48,1641.6,1641.6,1010000000.0
2012-8-6,1639.76,1661.2,1638.1,1658.37,1658.37,1420000000.0
2012-8-7,1657.16,1662.49,1653.02,1657.91,1657.91,1360000000.0
2012-8-8,1659.47,1671.49,1657.29,1662.77,1662.77,1230000000.0
2012-8-9,1662.06,1673.08,1652.98,1671.95,1671.95,1120000000.0
