,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2020-10-06,24.620001,24.780001,0.0,-5.0,80171.00032053464,61950.002499999995,18220.99782053465,0.13578082739726027,-400.00000000000034
2020-10-07,24.780001,25.059999,0.0,-5.0,79470.86800547162,62649.997500000005,16820.87050547162,0.13731506301369867,-699.9950000000066
2020-10-08,25.040001,24.940001,0.0,-5.0,79720.7313479319,62350.002499999995,17370.728847931903,0.1366575397260274,250.00000000000355
2020-10-09,25.1,24.98,0.0,-5.0,80020.59447121956,62450.0,17570.594471219563,0.13687671232876714,300.0000000000025
2020-10-12,25.02,25.48,0.0,-5.0,78870.4548547812,63700.0,15170.454854781201,0.13961643835616439,-1150.000000000002
2020-10-14,25.559999,25.42,1.0,6.0,78450.29070957573,76260.0,2190.2907095757255,0.16714520547945205,-419.9969999999986
2020-10-15,25.379999,24.9,0.0,6.0,77010.12998354832,74699.99999999999,2310.129983548337,0.16372602739726025,-1439.997000000009
2020-10-16,25.040001,25.200001,0.0,6.0,77489.9642849116,75600.003,1889.9612849116093,0.1656986367123288,480.00000000000045
2020-10-19,25.299999,25.32,0.0,6.0,77549.80079724037,75960.00000000001,1589.8007972403575,0.16648767123287675,60.003000000001805
2020-10-20,25.32,25.34,0.0,6.0,77609.63417806229,76020.0,1589.6341780622897,0.1666191780821918,59.99999999999872
2020-10-21,25.559999,25.540001,0.0,6.0,77549.47224380913,76620.003,929.4692438091297,0.16793425315068494,-59.99400000000321
2020-10-22,25.459999,25.559999,0.0,6.0,77849.30417806227,76679.997,1169.3071780622704,0.16806574684931508,300.00000000000426
2020-10-23,25.540001,25.700001,0.0,6.0,78329.13519175432,77100.003,1229.1321917543246,0.16898630794520547,480.00000000000045
2020-10-27,25.559999,25.52,0.0,6.0,78208.97038901459,76560.0,1648.9703890145902,0.1678027397260274,-119.99700000000502
2020-10-28,25.52,25.459999,0.0,6.0,78028.799980802,76379.997,1648.8029808019928,0.16740821260273975,-180.00299999999925
2020-10-29,25.18,25.379999,0.0,6.0,78628.63009861679,76139.997,2488.6330986167886,0.16688218520547948,599.9970000000054
2020-10-30,24.6,24.24,0.0,6.0,77548.47071231541,72720.0,4828.470712315408,0.159386301369863,-1080.0000000000089
2020-11-02,24.360001,24.6,-1.0,-6.0,76828.31195889074,73800.00000000001,3028.3119588907284,0.16175342465753428,-719.9970000000029
2020-11-03,24.799999,25.120001,0.0,-6.0,75868.14078628144,75360.003,508.13778628144064,0.1651726093150685,-960.0059999999963
2020-11-04,25.0,25.0,1.0,6.0,75867.9764027198,75000.0,867.9764027197962,0.1643835616438356,0.0
2020-11-05,25.66,25.700001,0.0,6.0,75987.81041641184,77100.003,-1112.1925835881557,0.16898630794520547,120.00300000000053
2020-11-06,25.879999,25.879999,0.0,6.0,75987.6402465554,77639.997,-1652.3567534446047,0.17016985643835617,0.0
2020-11-09,26.299999,26.16,0.0,6.0,75567.47123559649,78480.0,-2912.5287644035125,0.1720109589041096,-419.9969999999986
2020-11-10,26.5,26.4,0.0,6.0,75267.2976465554,79199.99999999999,-3932.7023534445907,0.17358904109589038,-300.00000000000426
2020-11-11,26.32,26.4,0.0,6.0,75507.1240575143,79199.99999999999,-3692.8759424856835,0.17358904109589038,239.99999999999488
2020-11-12,26.52,26.34,0.0,6.0,74966.95086299375,79020.0,-4053.049137006252,0.1731945205479452,-539.9999999999991
2020-11-13,26.24,26.299999,0.0,6.0,75146.77493149348,78899.997,-3753.222068506526,0.1729315002739726,179.99700000000374
2020-11-16,26.58,26.540001,0.0,6.0,75026.60342189787,79620.003,-4593.399578102122,0.17450959561643836,-119.99699999999436
2020-11-17,26.620001,26.58,0.0,6.0,74906.42564929514,79740.0,-4833.574350704861,0.17477260273972603,-120.00300000000053
2020-11-18,26.58,26.68,0.0,6.0,75206.25021915816,80039.99999999999,-4833.749780841827,0.17543013698630136,300.00000000000426
2020-11-19,26.620001,26.52,0.0,6.0,74906.07284107598,79560.0,-4653.927158924023,0.17437808219178083,-300.0029999999967
2020-11-20,26.58,26.58,0.0,6.0,74905.89806847324,79740.0,-4834.101931526762,0.17477260273972603,0.0
2020-11-23,26.780001,26.639999,0.0,6.0,74485.71690135653,79919.99699999999,-5434.2800986434595,0.17516711671232874,-420.00599999999724
2020-11-24,26.66,26.74,0.0,6.0,74725.541076699,80220.0,-5494.458923301005,0.1758246575342466,239.99999999999488
2020-11-25,26.940001,26.780001,0.0,6.0,74245.36498902118,80340.003,-6094.638010978815,0.17608767780821918,-480.00000000000045
2020-11-26,26.799999,26.940001,0.0,6.0,74665.19384928857,80820.003,-6154.8091507114295,0.17713973260273974,420.00599999999724
2020-11-27,26.959999,27.08,1.0,6.0,75025.01878901459,81240.0,-6214.98121098541,0.17806027397260274,360.0029999999954
2020-11-30,27.040001,26.559999,0.0,6.0,73584.83814792529,79679.997,-6095.158852074717,0.17464108931506853,-1440.0059999999967
2020-12-01,26.6,26.719999,-1.0,-5.0,73284.69423697186,66799.9975,6484.696736971862,0.14641095342465754,-299.99749999999995
2020-12-02,26.719999,26.68,1.0,5.0,73184.55054519104,66700.0,6484.550545191043,0.1461917808219178,-99.99750000000418
2020-12-03,26.719999,26.9,0.0,5.0,73634.40564793076,67250.0,6384.405647930762,0.14739726027397262,450.002499999993
2020-12-04,26.92,26.98,0.0,5.0,73784.25781231432,67450.0,6334.257812314318,0.14783561643835616,149.99999999999682
2020-12-07,26.959999,26.620001,0.0,5.0,72934.11694929513,66550.00249999999,6384.114449295143,0.14586301917808217,-849.9950000000034
2020-12-08,26.620001,26.459999,0.0,5.0,72533.96696299926,66149.9975,6383.969462999259,0.14498629589041095,-400.0049999999966
2020-12-09,26.58,26.68,0.0,5.0,72783.82077121844,66700.0,6083.820771218438,0.1461917808219178,250.00000000000355
2020-12-10,26.58,26.6,0.0,5.0,72833.6750177938,66500.0,6333.675017793794,0.14575342465753424,50.000000000007816
2020-12-11,26.700001,26.700001,0.0,5.0,72833.52871641846,66750.00249999999,6083.526216418468,0.14630137534246573,0.0
2020-12-14,26.700001,26.58,0.0,5.0,72533.38057258284,66449.99999999999,6083.380572582857,0.14564383561643832,-300.00250000000506
2020-12-15,26.559999,26.4,0.0,5.0,72133.23841504859,66000.0,6133.238415048589,0.14465753424657535,-399.99750000000665
2020-12-16,26.5,26.68,0.0,5.0,72583.09222326777,66700.0,5883.092223267769,0.1461917808219178,449.9999999999993
2020-12-17,26.68,26.860001,0.0,5.0,73032.9475451801,67150.0025,5882.945045180095,0.1471780876712329,450.0025000000019
2020-12-18,26.799999,26.6,1.0,5.0,72532.80429175544,66500.0,6032.804291755441,0.14575342465753424,-499.9974999999956
2020-12-21,26.6,26.459999,-1.0,-5.0,72882.66180545956,66149.9975,6732.6643054595625,0.14498629589041095,350.002500000004
2020-12-22,26.42,26.299999,0.0,-5.0,73182.520195876,65749.99750000001,7432.522695875989,0.14410958356164388,300.00250000000506
2020-12-23,26.26,26.52,0.0,-5.0,72532.3748808075,66300.0,6232.374880807503,0.14531506849315068,-649.999999999995
2020-12-24,26.6,26.6,0.0,-5.0,72532.22912738285,66500.0,6032.229127382845,0.14575342465753424,-0.0
2020-12-28,26.58,26.48,0.0,-5.0,72782.08403149243,66200.0,6582.084031492428,0.1450958904109589,249.99999999999466
2020-12-29,26.620001,26.74,0.0,-5.0,72481.94001094448,66850.0,5631.940010944483,0.1465205479452055,-299.99749999999995
2020-12-30,26.799999,27.34,1.0,5.0,73831.7927027253,68350.0,5481.792702725303,0.14980821917808218,1350.0025000000005
2020-12-31,27.440001,27.440001,1.0,5.0,73831.64234655544,68600.0025,5231.6398465554375,0.1503561698630137,0.0
2021-01-04,27.360001,27.639999,0.0,5.0,74531.48589450611,69099.9975,5431.488394506116,0.1514520493150685,699.9949999999977
