Date,intraday_ret,overnight_ret,daily_ret,intraday_overnight_ret_diff,ret_range,stoch_k,disc_stoch_k_1,disc_stoch_k_3,macd,disc_macd_1,disc_macd_9,rsi,disc_rsi_ter
2015-12-28,-0.010478248119371317,0.0006143070280588242,-0.009870377952774012,-0.011092555147430141,0.0122512918930617,0.7532863815584041,1,0,-114.67493374273181,0,1,47.779921859949,neutral
2015-12-29,0.0034825831642570134,0.00016653531257003015,0.0036496984499028162,0.0033160478516869834,0.006504144002701632,0.8195560128850425,1,0,-97.63223859223945,1,1,49.64071147268346,neutral
2015-12-30,-0.00961499872264403,0.004316924875741368,-0.005339581074068622,-0.013931923598385397,0.011206159907775392,0.7222483784487793,0,0,-92.53780804877897,0,1,46.992773098402225,neutral
2015-12-31,0.0010117914159120237,0.00046154556086622044,0.0014738039646147172,0.0005502458550458032,0.004853770566603185,0.7489633235773305,1,0,-84.91923359964858,1,1,47.81577561649177,neutral
2016-01-04,-0.020911167617602228,-0.0060134545162538935,-0.02679887377850587,-0.014897713101348334,0.025883914624132802,0.2624769245454884,0,0,-124.83117118395239,0,0,36.65488127985791,neutral
2016-01-05,-0.0060964699676202905,-0.00039525673600907,-0.00648931703280875,-0.005701213231611221,0.01673174146949238,0.08276083053394702,1,0,-165.7189615000425,0,0,34.60496581765288,neutral
2016-01-06,-0.007653745344006994,-0.0021752065353904297,-0.00981230340250494,-0.005478538808616564,0.0119081450414223,0.026382558633033786,0,0,-212.45044544854318,0,0,31.733817335372947,neutral
2016-01-07,-0.02114611429889378,-0.009923874820508882,-0.03086013772816032,-0.011222239478384896,0.023948967504253096,0.004948110341725969,0,0,-298.29242833043463,0,0,24.82584775285281,oversold
2016-01-08,-0.001862685135490495,0.0077970966325894495,0.005919887961101544,-0.009659781768079944,0.013367247256900854,0.06851951754634791,1,1,-352.5459467184628,1,0,27.9653189609499,oversold
2016-01-11,-0.005446698739163519,-0.022308470918518376,-0.027633662137257375,0.016861772179354858,0.00995416479665403,0.009913962745420397,0,0,-436.122698911724,0,0,23.089240856718476,oversold
2016-01-12,-0.01588961885840352,0.007116137309249064,-0.008886554258742518,-0.02300575616765258,0.021912690593810492,0.006648088771265019,0,0,-510.7319371453341,0,0,21.808709001741263,oversold
2016-01-13,-0.004692155148001282,0.016086823964240098,0.011319186942360115,-0.02077897911224138,0.019483234003020683,0.09510189322639816,1,1,-545.5673278594695,1,0,27.290961346555378,oversold
2016-01-14,0.012180969906748598,-0.017856185848865922,-0.005892721604591644,0.03003715575561452,0.019302888437832594,0.11384344678135265,1,1,-576.013603706906,0,0,26.24753272461591,oversold
2016-01-15,-0.013178571950457085,-0.001814022037519487,-0.014968687768035394,-0.011364549912937597,0.01657879740766139,0.007689922069464917,0,0,-616.966905539437,0,0,23.775473719044214,oversold
2016-01-18,-0.0025888243193336316,-0.01195591554428106,-0.014513788098693747,0.00936709122494743,0.012495905302785475,0.014350350077081192,1,0,-664.6229144619101,0,0,21.67568787508023,oversold
2016-01-19,0.018266339099387147,0.002397464093370942,0.020707596084866164,0.015868875006016206,0.023055514888258112,0.15082219938335045,1,1,-662.6080814372181,1,0,30.91451382827043,neutral
2016-01-20,-0.023066150998520222,-0.015461029379218354,-0.038170553939484986,-0.007605121619301868,0.025379132812488343,0.016713142225172523,0,0,-713.2683721208668,0,0,24.951102742604036,oversold
2016-01-21,-0.028144912507172277,0.010210050150024002,-0.018222223325314535,-0.038354962657196276,0.03727404101807424,0.002407457547520181,0,0,-772.2846609727749,0,0,22.778350289094732,oversold
2016-01-22,0.004195652236481955,0.024734923523589254,0.02903435489727224,-0.0205392712871073,0.020665963665343984,0.1871578948777339,1,1,-766.7754823129035,1,0,32.65747757102558,neutral
2016-01-25,-6.563798811689863e-05,0.013673659342950681,0.013607123843344393,-0.01373929733106758,0.010395915907726932,0.3023428105372614,0,1,-733.0096984860684,1,0,36.85313493271943,neutral
2016-01-26,-0.010909896155438468,-0.014027859802596446,-0.024784713464305552,0.003117963647157978,0.014800318153064101,0.142443388790661,0,0,-736.4395739238935,0,0,32.79114270212554,neutral
2016-01-27,-0.008297487147831052,0.018613133017077208,0.010161203637256033,-0.02691062016490826,0.015145188899347916,0.2512698841168587,1,0,-715.4461300484145,1,0,35.83623811996303,neutral
2016-01-28,0.005345227756518253,0.002168766441814506,0.007525586748915014,0.003176461314703747,0.012668667311678884,0.3890253777371948,1,1,-679.4072535570995,1,1,38.09600506038009,neutral
2016-01-29,0.028460523666450962,-0.0029907618486070533,0.025384643169470866,0.03145128551505801,0.030183659069021845,0.6755795990329009,1,1,-604.5578508168182,1,1,45.16421386163761,neutral
2016-02-01,-0.008874679286184796,0.004463296973372633,-0.004450992642009877,-0.013337976259557429,0.01659804686600742,0.6240591745200398,0,0,-546.0143902560048,0,1,44.187323783972126,neutral
2016-02-02,-0.0014392546965324804,-0.006156049061008905,-0.0075864436350182585,0.004716794364476425,0.01148631461942793,0.6711918460577068,0,0,-505.78355025530254,0,1,42.50719572732224,neutral
2016-02-03,0.004267859597613023,-0.02756020971434345,-0.023409973222272007,0.031828069311956475,0.013775535107628148,0.3532201855623444,1,0,-504.81598557947655,0,1,37.77086840959719,neutral
2016-02-04,-0.0003788116266061328,0.010466187027275848,0.010083410687337535,-0.010844998653881981,0.00906661604118764,0.524630036167222,0,1,-483.0286800861177,1,1,40.76100116532236,neutral
2016-02-05,4.202477172954113e-05,0.005435491993171883,0.005477745190211714,-0.005393467221442342,0.008751502533868229,0.6096008970734558,1,1,-452.07179712737707,1,1,42.39661592230778,neutral
2016-02-11,0.003184471123390808,-0.04154050060842224,-0.03848831400967012,0.04472497173181304,0.009381357561806981,0.07493219956554632,1,0,-481.88634395169356,0,1,35.03658994314483,neutral
2016-02-12,0.002230961284770417,-0.014396790041546214,-0.012197947437983414,0.01662775132631663,0.010974414061471547,0.02732903482524549,0,0,-517.7998330923801,0,1,33.14814426969967,neutral
2016-02-15,0.013352254091950577,0.019066433892612977,0.03267326785452518,-0.005714179800662401,0.014639604461798846,0.4284659666538392,1,1,-492.2879096417237,1,1,42.048507196275814,neutral
2016-02-16,0.0056979764325449265,0.005053330095700142,0.010780100284036198,0.0006446463368447843,0.015121481448444407,0.5651399371192666,0,1,-450.42114247648715,1,1,44.74763214461546,neutral
2016-02-17,-0.014251839468829849,0.003979672141528961,-0.010328884975800534,-0.01823151161035881,0.020890955063094293,0.43277494613775647,0,0,-428.2423045766409,0,1,42.674628263887335,neutral
2016-02-18,-0.0023767508902627177,0.025609068898113194,0.023171451630548123,-0.027985819788375912,0.00899200980867713,0.7266507501446362,1,1,-371.00463198899524,1,1,48.39112342949858,neutral
2016-02-19,0.002446681629664583,-0.006437529056434619,-0.004006598010852791,0.008884210686099202,0.006785021066892262,0.6746589597191571,1,1,-328.12105278085437,0,1,47.48886616414104,neutral
2016-02-22,0.004637581050305299,0.004601396612740141,0.009260317012781627,3.618443756515759e-05,0.007815740776749371,0.7943443989811332,1,1,-276.53705244363664,1,1,49.80884029261409,neutral
2016-02-23,-0.004724480560954219,0.0022014699746548483,-0.002533411388400131,-0.006925950535609068,0.009843246989096707,0.7612979819001919,0,0,-236.90442284247183,0,1,49.16298131257289,neutral
2016-02-24,-0.004661811052414176,-0.006821579122782891,-0.011451589262247541,0.0021597680703687146,0.015485142550571825,0.6768921777734046,0,0,-220.88918453993756,0,1,46.250956470393106,neutral
2016-02-25,-0.01700400199993271,0.0012005250274410083,-0.015823890702459265,-0.01820452702737372,0.018121241935355845,0.48945910829902245,0,0,-230.0510958038758,0,1,42.543938479042424,neutral
2016-02-26,0.009603840436393231,0.015416542584871948,0.02516844103633109,-0.005812702148478717,0.016631613559658528,0.8709483276100677,1,1,-196.6838886154619,1,1,49.38306117223992,neutral
2016-02-29,-0.013128059673163545,0.00010429227253769627,-0.013025136555803174,-0.013232351945701241,0.016728924311950895,0.6685516089141886,0,0,-188.42024803490494,0,1,46.23840432096549,neutral
2016-03-01,0.007656842050822853,0.007747022372724496,0.015463182150219579,-9.018032190164296e-05,0.01630914428038443,0.9057032563840142,1,1,-156.22350401270523,1,1,50.23701430007623,neutral
2016-03-02,0.01088126458131797,0.01961663020222168,0.03071134852696389,-0.00873536562090371,0.014128546729169475,0.9692978460194224,0,1,-81.67131331568089,1,1,57.15782932863346,neutral
2016-03-03,-0.006983862752625003,0.003925291553124469,-0.0030859848969715387,-0.010909154305749472,0.014517974255859841,0.9007529770789796,0,0,-27.25511795971397,0,1,56.28474109341607,neutral
2016-03-04,0.006213793657635018,0.005533104653090871,0.011781279881326379,0.0006806890045441471,0.011180115220288455,0.9822300841378037,1,1,34.43086176174256,1,1,58.860373135461955,neutral
2016-03-07,-0.007208140107291551,0.006412873760825983,-0.0008414912390239948,-0.013621013868117534,0.011699564492225426,0.8825342232740944,0,0,81.01354705761696,0,1,58.59170550028587,neutral
2016-03-08,-0.00598643626787328,-0.0013701129175722358,-0.007348347091784668,-0.0046163233503010445,0.011655938701252701,0.7813445967850601,1,0,104.76923585572877,0,1,56.182081370776615,neutral
2016-03-09,0.0049007892007924886,-0.005638727342342505,-0.0007655723556155847,0.010539516543134994,0.009344101447511495,0.7708798326491569,1,0,120.96515815218663,0,1,55.92592540338311,neutral
2016-03-10,-0.00354019014693172,0.0029585610980959816,-0.0005921029176843007,-0.006498751245027702,0.013037008385845594,0.762792453736377,0,1,131.3312617815791,0,1,55.714509334232254,neutral
2016-03-11,0.01502108666057587,-0.00419076462201072,0.0107673722000039,0.019211851282586588,0.01926950320576879,0.9097740950393762,1,1,155.12153158487126,1,1,58.76539961585885,neutral
2016-03-14,0.003129358115344075,0.008514536807708615,0.011670539957910231,-0.00538517869236454,0.009066934050266892,0.9533612781611052,0,1,190.7983538984481,1,1,61.865001948597794,neutral
2016-03-15,-0.00046215340779683496,-0.00671334336370033,-0.007172394176983898,0.006251189955903495,0.005479267973086605,0.86422448351758,0,0,204.8837213361694,0,1,58.90044530100818,neutral
2016-03-16,-0.004041375340898321,0.0025201557588913973,-0.001531404477346121,-0.006561531099789718,0.010570329760248753,0.8255922659866278,1,0,211.1058649544866,0,1,58.26307414027986,neutral
2016-03-17,-0.003705042549623512,0.015913027666371447,0.012149026672150676,-0.01961807021599496,0.009067636513972022,0.9262057944002186,0,1,233.20781145796354,1,1,61.79018739259055,neutral
2016-03-18,0.0035167114907528694,0.004651764901550788,0.00818483530738523,-0.0011350534107979187,0.008437456033086838,0.9896561658079776,1,1,261.2538877902298,1,1,64.0228510144518,neutral
2016-03-21,-0.0026086872988318687,0.003222732694783338,0.0006056382941030947,-0.005831419993615207,0.007445004783219756,0.9106657736207676,0,0,281.2487661811392,0,1,64.19095166501447,neutral
2016-03-22,-0.004734889457167592,0.003912170446782121,-0.0008412427049885318,-0.008647059903949712,0.009102115759868596,0.8922264193022316,1,0,292.3210897004501,0,1,63.74514620430502,neutral
2016-03-23,-0.000686879967749305,-0.0018072318760811448,-0.0024928704924577216,0.0011203519083318398,0.00870340492578659,0.8351952733950363,1,0,293.55487241842275,0,1,62.36411366213503,neutral
2016-03-24,-0.005138216898058812,-0.007981526855808026,-0.013078732937704007,0.0028433099577492137,0.011199054703752667,0.5525857321549577,0,0,269.6679212297204,0,1,55.577927278281884,neutral
2016-03-29,-0.000982008079100224,0.0020009691894519624,0.0010169961424417728,-0.002982977268552186,0.006692840669708375,0.5742739047923205,1,0,249.53053123881182,1,0,55.97386096575256,neutral
2016-03-30,0.012555154756534796,0.0087958374865956,0.021461425343987983,0.003759317269939196,0.013731514586461666,0.9827001284142304,1,1,265.77728694406323,1,1,63.3958364306643,neutral
2016-03-31,-0.0016703161231397814,0.00038793255606620617,-0.001283031537076651,-0.0020582486792059874,0.008812509529321017,0.905928267332711,0,1,273.34819661975416,0,1,62.70070526068583,neutral
2016-04-01,-0.0138197480221797,0.00045630293099898755,-0.01336975108270888,-0.014276050953178687,0.015920215611125367,0.6333069445855465,0,0,254.00570961644553,0,0,55.83865242479112,neutral
