Date,HSI_daily_ret,HSI_disc_stoch_k_3,HSI_stoch_k,HSI_disc_macd_1,HSI_intraday_ret,HSI_overnight_ret,HSI_rsi,CSI300_overnight_ret,SSE50_overnight_ret,HSI_ret_range,HSI_OC_ter_0.005
2020-03-11,-0.006336529634531,1,0.1116766319498994,0,-0.0089690460665106,0.0026563412792819,32.98621450290979,0.0020109093670166,0.001234517238785,0.013895814656835,neutral
2020-03-12,-0.0365628307251011,0,0.0639787807426217,0,-0.0141375730342525,-0.0227468428428378,27.015939505033245,-0.012987689993372,-0.0103345843315929,0.0213910440958544,sell
2020-03-13,-0.0113603750657628,1,0.3444101645169863,0,0.0672129452730346,-0.0736247819020742,25.526528519709075,-0.0455338137289889,-0.0427061414929028,0.068499540905674,sell
2020-03-16,-0.0403338520989691,0,0.1256855839732117,0,-0.0109032635745928,-0.0297550152988455,21.124266873657547,0.0011680713473382,0.0004394787710315,0.0328416031077176,buy
2020-03-17,0.0086786283969884,0,0.1719092791986606,0,0.0113891591684433,-0.0026800077367683,24.037463527053973,0.0032029271642559,0.000994795881248,0.0314235077843609,neutral
2020-03-18,-0.0417779150921456,0,0.026821064050013,0,-0.0317729545849787,-0.0103332793217715,20.146484875227983,0.0053939962476548,0.0036602757680807,0.0540588009601184,sell
2020-03-19,-0.0261391597885014,1,0.1005716342037449,0,-0.0230521227839847,-0.0031598789213952,18.240169304935748,-0.0034293477364105,-0.0053318099590593,0.0556742365911263,sell
2020-03-20,0.050482880232477,1,0.2939845358195147,0,0.0296979444660308,0.0201854688339934,31.389920182030863,0.0112619076144649,0.010969767957693,0.0302974113984835,buy
2020-03-23,-0.0486268815631392,0,0.0982773763286083,0,0.0,-0.0486268815631392,26.70890929201165,-0.0302582379380382,-0.03027293963674,0.0,sell
2020-03-24,0.0445867229170955,1,0.2689982889579188,1,0.0073750151492053,0.0369392800181556,35.714772002937494,0.0193609059827606,0.0189950070713621,0.0170426592659135,buy
2020-03-25,0.0381097178686087,1,0.4531570549350353,1,0.01166496151096,0.0261398361747672,42.50750660245319,0.0238226596636801,0.023005402783987,0.0223804341147186,buy
2020-03-26,-0.0074318103198585,1,0.4985144836197236,1,-0.0106965495425865,0.0033000382453114,41.55032421698739,-0.0080348795976918,-0.0087290153655854,0.0187510776469478,neutral
2020-03-27,0.0056499457445293,1,0.5282349302469437,1,-0.0119541381820309,0.0178170716632216,42.60066593987934,0.0130717540325305,0.0123415932889098,0.0187214410226223,sell
2020-03-30,-0.0131649738093576,0,0.4675845907538601,1,0.0067008719592251,-0.0197336133522167,40.75262601337276,-0.014177668285688,-0.0127043354655295,0.0220649601782309,sell
2020-03-31,0.0184841023538859,1,0.7003790330549242,1,-0.000414557691261,0.0189064978792575,44.35453194000674,0.0092621070136712,0.0087210599098898,0.0168064032869316,buy
2020-04-01,-0.0219328419355527,1,0.6392079545753367,1,-0.0119880391271969,-0.0100654680329685,41.1024154990115,-0.0010471601883802,-0.0018145446162312,0.0250966861183574,sell
2020-04-02,0.0084151979318987,1,0.8072585438281092,1,0.0193264593126429,-0.0107043835476437,42.79740345011938,-0.0051046507831121,-0.0052720276800094,0.0226949005763488,neutral
2020-04-03,-0.0018879320260574,1,0.7906853253772851,1,0.0070714911519594,-0.0088965115751299,42.49941586111841,-0.003494415629276,-0.0044376794649782,0.0088285550830575,buy
2020-04-06,0.022078126649591,1,0.9688861110285326,1,0.0080771864251734,0.013888758135741,47.12700236201777,0.007232868776568551,0.0065395864456991495,0.0241632097402278,buy
2020-04-07,0.021228994595112,1,0.9972073643022976,1,0.0066508090944922,0.0144818693522267,51.27703913333235,0.0179601531824131,0.0175168523563765,0.019620957981254,buy
2020-04-08,-0.0116652187316088,0,0.8863388976425902,1,-0.0091334895748055,-0.0025550658238686,48.95491418148138,-0.005687173843213,-0.0054580203886979,0.0121187654638336,sell
2020-04-09,0.0137653673818807,1,0.9968003109978096,1,0.0049215578011048,0.008800497424025,51.70201944013571,0.0047984974936182,0.0039469512261788,0.0109931459160719,neutral
2020-04-14,0.0055583735721183,0,0.9486902362739362,1,0.0036057345209071,0.0019456236488557,52.82132625822469,0.0065463090753104,0.0063267340106674,0.0108335880532744,buy
2020-04-15,-0.0118705051784739,0,0.7519526294423112,1,-0.0144702680053648,0.0026379344452948,50.134319601804826,-0.0012677418511644,-0.0008758956391882,0.0209982075665868,sell
2020-04-16,-0.0057522745962075,0,0.6767737529389874,1,-0.0007908280851278,-0.0049653732677129,48.85282127207751,-0.0051509469736869,-0.0046301487797024,0.0102761483315475,sell
2020-04-17,0.0155604345251625,1,0.8499664172581557,1,-0.0031822151792039,0.0188024832519777,52.37853518446061,0.0077688184768487,0.0081531359048643,0.014906882932337,buy
2020-04-20,-0.0020500602440525,1,0.8238056147072985,1,-0.0070822775038353,0.0050681110285069,51.863399393918826,0.0015548940093606,0.0013242769874835,0.0114031897303117,sell
2020-04-21,-0.0220496637625361,0,0.5430068668273049,0,-0.0187352384965993,-0.0033777074200226,46.56924765135684,-0.003952292225688,-0.0038584433592572,0.0234980898244115,sell
2020-04-22,0.0041947750744564,0,0.5952487320853707,1,0.014987775410039,-0.0106336259382261,47.64013095790543,-0.0049684221583225,-0.0036235917731179,0.0191639541242547,sell
2020-04-23,0.0035139862998021,1,0.6391956089926097,1,-0.0002639330553064,0.0037789167361485,48.57387677908224,0.0032635477603154,0.0033841611274356,0.0126219203165105,buy
2020-04-24,-0.0060886801557591,0,0.4894378765685007,0,-0.0005544538559894,-0.0055372964751521,47.0042428042392,-0.0008982309550231,-0.0030775719708612,0.0094539208112353,sell
2020-04-27,0.0188327947035975,1,0.7229728121714565,1,0.0103817567693875,0.0083642028150148,52.12600303186386,0.0029102152505814,0.0037643821009934,0.0120963237649755,buy
2020-04-28,0.01218363258553,1,0.9233690673664924,1,0.0071653187653966,0.0049826118181718,55.19935320834159,0.0032908074511414,0.0032118693008035,0.0167123948391464,buy
2020-04-29,0.0027518316139087,1,0.8455859118121802,1,-0.005746371954578,0.0085473196463897,55.89642136576449,-0.003024044269514,-0.0037307885626906,0.0124451517186986,buy
2020-05-04,-0.0417872992136805,0,0.0950983992507252,0,-0.0117726430683056,-0.0303722174202565,44.53374217281795,-0.004061565016234201,-0.005634689894203649,0.0126840318357382,sell
2020-05-05,0.0107928146494047,1,0.2808342798905694,0,0.0047521350487718,0.0060121092455699,47.38441992394551,-0.007822357376873701,-0.009564587173447124,0.0097641358759186,neutral
2020-05-06,0.0112624802037581,1,0.4767445832728391,1,0.0112896228003835,-2.6839587802847515e-05,50.28669168899544,-0.0115831497375132,-0.0134944844526906,0.0153762198306258,buy
2020-05-07,-0.0064981765424136,0,0.3624360540092748,0,-0.005811566208672,-0.0006906239404971,48.60213697145206,0.0003404255319149,-0.0010091310648252,0.0085887401190608,neutral
2020-05-08,0.0104058589602302,1,0.5442946084669189,1,0.0015215144909986,0.0088708473464465,51.391980007258695,0.0046115824606996,0.0036574855837613,0.006947745832961,neutral
2020-05-11,0.0153482466775545,1,0.8153202779604467,1,0.0053894520211622,0.0099054099248523,55.28716664987816,0.0028105620619535,0.0013087319570762,0.0122430173449664,buy
2020-05-12,-0.0144858134421699,0,0.555597782920976,1,-0.004611228857049,-0.0099203294947585,51.06417264427868,0.0002929159785667,-0.0001880321047408,0.0111714156310744,sell
2020-05-13,-0.002696517775235,0,0.5079510807833224,0,0.0028463752032676,-0.0055271606056104,50.30504357167427,-0.0034341353049309,-0.0030596598829104,0.0140573530013562,sell
2020-05-14,-0.0144977744506318,0,0.1926697176202562,0,-0.0086666723000916,-0.005882080212182,46.32806242893513,-0.004044604044604,-0.0045088241140142,0.0120312780435132,sell
2020-05-15,-0.0013541705000816,0,0.1672710670292556,0,-0.0015611279389046,0.0002072810310317,45.967807365643374,0.0040507283668176,0.0040147749362326,0.0131562393270554,sell
2020-05-18,0.0057694714634934,1,0.2753360071451959,0,0.008345720357026,-0.0025549261939848,47.82677775867284,0.0004702490786695,0.0007234837872248,0.0096598862224804,neutral
2020-05-19,0.0189415372282184,1,0.632166909810348,1,-0.0041413549305547,0.0231788841449114,53.51404882353143,0.0104157372970575,0.0112999925982581,0.009947936293647,buy
